i0_0,j0_0,output_i_0_0,output_j_0_0,i0_1,j0_1,output_i_0_1,output_j_0_1,i0_2,j0_2,output_i_0_2,output_j_0_2,i0_3,j0_3,output_i_0_3,output_j_0_3,i1_0,j1_0,output_i_1_0,output_j_1_0,i1_1,j1_1,output_i_1_1,output_j_1_1,i1_2,j1_2,output_i_1_2,output_j_1_2,i1_3,j1_3,output_i_1_3,output_j_1_3,o_i_0_0,o_j_0_0,o_i_0_1,o_j_0_1,o_i_0_2,o_j_0_2,o_i_0_3,o_j_0_3,o_i_1_0,o_j_1_0,o_i_1_1,o_j_1_1,o_i_1_2,o_j_1_2,o_i_1_3,o_j_1_3
1,4,1,0,1,5,1,1,1,6,1,2,1,7,1,3,2,4,0,1,2,5,0,2,2,6,0,3,2,7,0,0,1,0,1,1,1,2,1,3,0,1,0,2,0,3,0,0
1,5,1,1,1,6,1,2,1,7,1,3,1,8,1,0,2,5,0,2,2,6,0,3,2,7,0,0,2,8,0,1,1,1,1,2,1,3,1,0,0,2,0,3,0,0,0,1
1,6,1,2,1,7,1,3,1,8,1,0,1,9,1,1,2,6,0,3,2,7,0,0,2,8,0,1,2,9,0,2,1,2,1,3,1,0,1,1,0,3,0,0,0,1,0,2
2,0,0,1,2,1,0,2,2,2,0,3,2,3,0,0,3,0,1,1,3,1,1,2,3,2,1,3,3,3,1,0,0,1,0,2,0,3,0,0,1,1,1,2,1,3,1,0
2,1,0,2,2,2,0,3,2,3,0,0,2,4,0,1,3,1,1,2,3,2,1,3,3,3,1,0,3,4,1,1,0,2,0,3,0,0,0,1,1,2,1,3,1,0,1,1
2,2,0,3,2,3,0,0,2,4,0,1,2,5,0,2,3,2,1,3,3,3,1,0,3,4,1,1,3,5,1,2,0,3,0,0,0,1,0,2,1,3,1,0,1,1,1,2
2,3,0,0,2,4,0,1,2,5,0,2,2,6,0,3,3,3,1,0,3,4,1,1,3,5,1,2,3,6,1,3,0,0,0,1,0,2,0,3,1,0,1,1,1,2,1,3
2,4,0,1,2,5,0,2,2,6,0,3,2,7,0,0,3,4,1,1,3,5,1,2,3,6,1,3,3,7,1,0,0,1,0,2,0,3,0,0,1,1,1,2,1,3,1,0
2,5,0,2,2,6,0,3,2,7,0,0,2,8,0,1,3,5,1,2,3,6,1,3,3,7,1,0,3,8,1,1,0,2,0,3,0,0,0,1,1,2,1,3,1,0,1,1
2,6,0,3,2,7,0,0,2,8,0,1,2,9,0,2,3,6,1,3,3,7,1,0,3,8,1,1,3,9,1,2,0,3,0,0,0,1,0,2,1,3,1,0,1,1,1,2
